,Question,Abstract,Answer
86,How did Ford Prefect's behavior at university parties usually end?,"12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","Ford Prefect's behavior at university parties usually ended badly, as he would often get badly drunk, make fun of astrophysicists, and eventually get thrown out."
87,"What was the reason behind Ford Prefect's choice of the name ""Ford Prefect""?","12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","Ford Prefect chose the name ""Ford Prefect"" as being nicely inconspicuous based on the information he had gathered during his preparatory research."
88,"How did Ford Prefect's friends on Earth perceive him, and what were some of the habits they found odd about him?","12 CHAPTER 1.
By a curious coincidence, None at all is exactly how much suspicion the ape-
descendant Arthur Dent had that one of his closest friends was not descended
from an ape, but was in fact from a small planet in the vicinity of Betelgeuse
and not from Guildford as he usually claimed.
Arthur Dent had never, ever suspected this.
This friend of his had ﬁrst arrived on the planet some ﬁfteen Earth years
previously, and he had worked hard to blend himself into Earth society - with,
it must be said, some success. For instance he had spent those ﬁfteen years
pretending to be an out of work actor, which was plausible enough.
He had made one careless blunder though, because he had skimped a bit
on his preparatory research. The information he had gathered had led him to
choose the name ”Ford Prefect” as being nicely inconspicuous.
He was not conspicuously tall, his features were striking but not conspicu-
ously handsome. His hair was wiry and gingerish and brushed backwards from
the temples. His skin seemed to be pulled backwards from the nose. There
was something very slightly odd about him, but it was diﬃcult to say what
it was. Perhaps it was that his eyes didn’t blink often enough and when you
talked to him for any length of time your eyes began involuntarily to water on
his behalf. Perhaps it was that he smiled slightly too broadly and gave people
the unnerving impression that he was about to go for their neck.
He struck most of the friends he had made on Earth as an eccentric, but
a harmless one - an unruly boozer with some oddish habits. For instance he
would often gatecrash university parties, get badly drunk and start making fun
of any astrophysicist he could ﬁnd till he got thrown out.
Sometimes he would get seized with oddly distracted moods and stare into
the sky as if hypnotized until someone asked him what he was doing. Then he
would start guiltily for a moment, relax and grin.
- Oh, just looking for ﬂying saucers, - he would joke and everyone would
laugh and ask him what sort of ﬂying saucers he was looking for.
- Green ones! - he would reply with a wicked grin, laugh wildly for a moment
and then suddenly lunge for the nearest bar and buy an enormous round of
drinks.
Evenings like this usually ended badly. Ford would get out of his skull on
whisky, huddle into a corner with some girl and explain to her in slurred phrases
that honestly the colour of the ﬂying saucers didn’t matter that much really.
Thereafter, staggering semi-paralytic down the night streets he would often
ask passing policemen if they knew the way to Betelgeuse. The policemen would
usually say something like:
- Don’t you think it’s about time you went oﬀ home sir?
- I’m trying to baby, I’m trying to, - is what Ford invariably replied on these
occasions.
In fact what he was really looking out for when he stared distractedly into
the night sky was any kind of ﬂying saucer at all. The reason he said green was
that green was the traditional space livery of the Betelgeuse trading scouts.
Ford Prefect was desperate that any ﬂying saucer at all would arrive soon
because ﬁfteen years was a long time to get stranded anywhere, particularly
somewhere as mindboggingly dull as the Earth.
Ford wished that a ﬂying saucer would arrive soon because he knew how
to ﬂag ﬂying saucers down and get lifts from them. He knew how to see the
Marvels of the Universe for less than thirty Altairan dollars a day.","Ford Prefect's friends on Earth perceived him as an eccentric but harmless individual. Some of the odd habits they found about him were his tendency to gatecrash university parties, get drunk, make fun of astrophysicists, stare into the sky as if hypnotized, and ask passing policemen for directions to Betelgeuse."
89,"What was Ford Prefect's role in the book ""The Hitch Hiker's Guide to the Galaxy""?","13
In fact, Ford Prefect was a roving researcher for that wholly remarkable book
The Hitch Hiker’s Guide to the Galaxy.
Human beings are great adaptors, and by lunchtime life in the environs of
Arthur’s house had settled into a steady routine. It was Arthur’s accepted role
to lie squelching in the mud making occasional demands to see his lawyer, his
mother or a good book; it was Mr. Prosser’s accepted role to tackle Arthur
with the occasional new ploy such as the For the Public Good talk, the March
of Progress talk, the They Knocked My House Down Once You Know, Never
Looked Back talk and various other cajoleries and threats; and it was the bull-
dozer drivers accepted role to sit around drinking coﬀee and experimenting with
union regulations to see how they could turn the situation to their ﬁnancial ad-
vantage.
The Earth moved slowly in its diurnal course.
The sun was beginning to dry out the mud Arthur lay in.
A shadow moved across him again.
- Hello Arthur, - said the shadow.
Arthur looked up and squinting into the sun was startled to see Ford Prefect
standing above him.
- Ford! Hello, how are you?
- Fine, - said Ford, - look, are you busy?
- Am I busy? - exclaimed Arthur. - Well, I’ve just got all these bulldozers
and things to lie in front of because they’ll knock my house down if I don’t, but
other than that... well, no not especially, why?
They don’t have sarcasm on Betelgeuse, and Ford Prefect often failed to
notice it unless he was concentrating. He said,
- Good, is there anywhere we can talk?
- What? - said Arthur Dent.
For a few seconds Ford seemed to ignore him, and stared ﬁxedly into the sky
like a rabbit trying to get run over by a car. Then suddenly he squatted down
beside Arthur.
- We’ve got to talk, - he said urgently.
- Fine, - said Arthur, - talk.
- And drink, - said Ford. - It’s vitally important that we talk and drink.
Now. We’ll go to the pub in the village.
He looked into the sky again, nervous, expectant.
- Look, don’t you understand? - shouted Arthur. He pointed at Prosser. -
That man wants to knock my house down!
Ford glanced at him, puzzled.
- Well he can do it while you’re away can’t he? - he asked.
- But I don’t want him to!
- Ah.
- Look, what’s the matter with you Ford? - said Arthur.
- Nothing. Nothing’s the matter. Listen to me - I’ve got to tell you the most
important thing you’ve ever heard. I’ve got to tell you now, and I’ve got to tell
you in the saloon bar of the Horse and Groom.
- But why?
- Because you are going to need a very stiﬀ drink.
Ford stared at Arthur, and Arthur was astonished to ﬁnd that his will was
beginning to weaken. He didn’t realize that this was because of an old drink-","Ford Prefect was a roving researcher for the book ""The Hitch Hiker's Guide to the Galaxy."""
90,Describe the routine that had settled in the environs of Arthur's house by lunchtime.,"13
In fact, Ford Prefect was a roving researcher for that wholly remarkable book
The Hitch Hiker’s Guide to the Galaxy.
Human beings are great adaptors, and by lunchtime life in the environs of
Arthur’s house had settled into a steady routine. It was Arthur’s accepted role
to lie squelching in the mud making occasional demands to see his lawyer, his
mother or a good book; it was Mr. Prosser’s accepted role to tackle Arthur
with the occasional new ploy such as the For the Public Good talk, the March
of Progress talk, the They Knocked My House Down Once You Know, Never
Looked Back talk and various other cajoleries and threats; and it was the bull-
dozer drivers accepted role to sit around drinking coﬀee and experimenting with
union regulations to see how they could turn the situation to their ﬁnancial ad-
vantage.
The Earth moved slowly in its diurnal course.
The sun was beginning to dry out the mud Arthur lay in.
A shadow moved across him again.
- Hello Arthur, - said the shadow.
Arthur looked up and squinting into the sun was startled to see Ford Prefect
standing above him.
- Ford! Hello, how are you?
- Fine, - said Ford, - look, are you busy?
- Am I busy? - exclaimed Arthur. - Well, I’ve just got all these bulldozers
and things to lie in front of because they’ll knock my house down if I don’t, but
other than that... well, no not especially, why?
They don’t have sarcasm on Betelgeuse, and Ford Prefect often failed to
notice it unless he was concentrating. He said,
- Good, is there anywhere we can talk?
- What? - said Arthur Dent.
For a few seconds Ford seemed to ignore him, and stared ﬁxedly into the sky
like a rabbit trying to get run over by a car. Then suddenly he squatted down
beside Arthur.
- We’ve got to talk, - he said urgently.
- Fine, - said Arthur, - talk.
- And drink, - said Ford. - It’s vitally important that we talk and drink.
Now. We’ll go to the pub in the village.
He looked into the sky again, nervous, expectant.
- Look, don’t you understand? - shouted Arthur. He pointed at Prosser. -
That man wants to knock my house down!
Ford glanced at him, puzzled.
- Well he can do it while you’re away can’t he? - he asked.
- But I don’t want him to!
- Ah.
- Look, what’s the matter with you Ford? - said Arthur.
- Nothing. Nothing’s the matter. Listen to me - I’ve got to tell you the most
important thing you’ve ever heard. I’ve got to tell you now, and I’ve got to tell
you in the saloon bar of the Horse and Groom.
- But why?
- Because you are going to need a very stiﬀ drink.
Ford stared at Arthur, and Arthur was astonished to ﬁnd that his will was
beginning to weaken. He didn’t realize that this was because of an old drink-","The routine that had settled in the environs of Arthur's house by lunchtime was that Arthur would lie squelching in the mud making occasional demands, Mr. Prosser would tackle Arthur with various ploys and threats, and the bulldozer drivers would sit around drinking coffee and trying to turn the situation to their financial advantage."
91,How did Ford Prefect often fail to notice sarcasm?,"13
In fact, Ford Prefect was a roving researcher for that wholly remarkable book
The Hitch Hiker’s Guide to the Galaxy.
Human beings are great adaptors, and by lunchtime life in the environs of
Arthur’s house had settled into a steady routine. It was Arthur’s accepted role
to lie squelching in the mud making occasional demands to see his lawyer, his
mother or a good book; it was Mr. Prosser’s accepted role to tackle Arthur
with the occasional new ploy such as the For the Public Good talk, the March
of Progress talk, the They Knocked My House Down Once You Know, Never
Looked Back talk and various other cajoleries and threats; and it was the bull-
dozer drivers accepted role to sit around drinking coﬀee and experimenting with
union regulations to see how they could turn the situation to their ﬁnancial ad-
vantage.
The Earth moved slowly in its diurnal course.
The sun was beginning to dry out the mud Arthur lay in.
A shadow moved across him again.
- Hello Arthur, - said the shadow.
Arthur looked up and squinting into the sun was startled to see Ford Prefect
standing above him.
- Ford! Hello, how are you?
- Fine, - said Ford, - look, are you busy?
- Am I busy? - exclaimed Arthur. - Well, I’ve just got all these bulldozers
and things to lie in front of because they’ll knock my house down if I don’t, but
other than that... well, no not especially, why?
They don’t have sarcasm on Betelgeuse, and Ford Prefect often failed to
notice it unless he was concentrating. He said,
- Good, is there anywhere we can talk?
- What? - said Arthur Dent.
For a few seconds Ford seemed to ignore him, and stared ﬁxedly into the sky
like a rabbit trying to get run over by a car. Then suddenly he squatted down
beside Arthur.
- We’ve got to talk, - he said urgently.
- Fine, - said Arthur, - talk.
- And drink, - said Ford. - It’s vitally important that we talk and drink.
Now. We’ll go to the pub in the village.
He looked into the sky again, nervous, expectant.
- Look, don’t you understand? - shouted Arthur. He pointed at Prosser. -
That man wants to knock my house down!
Ford glanced at him, puzzled.
- Well he can do it while you’re away can’t he? - he asked.
- But I don’t want him to!
- Ah.
- Look, what’s the matter with you Ford? - said Arthur.
- Nothing. Nothing’s the matter. Listen to me - I’ve got to tell you the most
important thing you’ve ever heard. I’ve got to tell you now, and I’ve got to tell
you in the saloon bar of the Horse and Groom.
- But why?
- Because you are going to need a very stiﬀ drink.
Ford stared at Arthur, and Arthur was astonished to ﬁnd that his will was
beginning to weaken. He didn’t realize that this was because of an old drink-","Ford Prefect often failed to notice sarcasm because they don't have sarcasm on Betelgeuse, and he often didn't notice it unless he was concentrating."
92,Why did Ford urgently suggest going to the pub in the village to talk and drink?,"13
In fact, Ford Prefect was a roving researcher for that wholly remarkable book
The Hitch Hiker’s Guide to the Galaxy.
Human beings are great adaptors, and by lunchtime life in the environs of
Arthur’s house had settled into a steady routine. It was Arthur’s accepted role
to lie squelching in the mud making occasional demands to see his lawyer, his
mother or a good book; it was Mr. Prosser’s accepted role to tackle Arthur
with the occasional new ploy such as the For the Public Good talk, the March
of Progress talk, the They Knocked My House Down Once You Know, Never
Looked Back talk and various other cajoleries and threats; and it was the bull-
dozer drivers accepted role to sit around drinking coﬀee and experimenting with
union regulations to see how they could turn the situation to their ﬁnancial ad-
vantage.
The Earth moved slowly in its diurnal course.
The sun was beginning to dry out the mud Arthur lay in.
A shadow moved across him again.
- Hello Arthur, - said the shadow.
Arthur looked up and squinting into the sun was startled to see Ford Prefect
standing above him.
- Ford! Hello, how are you?
- Fine, - said Ford, - look, are you busy?
- Am I busy? - exclaimed Arthur. - Well, I’ve just got all these bulldozers
and things to lie in front of because they’ll knock my house down if I don’t, but
other than that... well, no not especially, why?
They don’t have sarcasm on Betelgeuse, and Ford Prefect often failed to
notice it unless he was concentrating. He said,
- Good, is there anywhere we can talk?
- What? - said Arthur Dent.
For a few seconds Ford seemed to ignore him, and stared ﬁxedly into the sky
like a rabbit trying to get run over by a car. Then suddenly he squatted down
beside Arthur.
- We’ve got to talk, - he said urgently.
- Fine, - said Arthur, - talk.
- And drink, - said Ford. - It’s vitally important that we talk and drink.
Now. We’ll go to the pub in the village.
He looked into the sky again, nervous, expectant.
- Look, don’t you understand? - shouted Arthur. He pointed at Prosser. -
That man wants to knock my house down!
Ford glanced at him, puzzled.
- Well he can do it while you’re away can’t he? - he asked.
- But I don’t want him to!
- Ah.
- Look, what’s the matter with you Ford? - said Arthur.
- Nothing. Nothing’s the matter. Listen to me - I’ve got to tell you the most
important thing you’ve ever heard. I’ve got to tell you now, and I’ve got to tell
you in the saloon bar of the Horse and Groom.
- But why?
- Because you are going to need a very stiﬀ drink.
Ford stared at Arthur, and Arthur was astonished to ﬁnd that his will was
beginning to weaken. He didn’t realize that this was because of an old drink-",Ford urgently suggested going to the pub in the village to talk and drink because he believed that Arthur would need a very stiff drink to hear the most important thing he had to tell him.
93,Why did Ford insist that Arthur would need a stiff drink before hearing the most important thing he had to say?,"13
In fact, Ford Prefect was a roving researcher for that wholly remarkable book
The Hitch Hiker’s Guide to the Galaxy.
Human beings are great adaptors, and by lunchtime life in the environs of
Arthur’s house had settled into a steady routine. It was Arthur’s accepted role
to lie squelching in the mud making occasional demands to see his lawyer, his
mother or a good book; it was Mr. Prosser’s accepted role to tackle Arthur
with the occasional new ploy such as the For the Public Good talk, the March
of Progress talk, the They Knocked My House Down Once You Know, Never
Looked Back talk and various other cajoleries and threats; and it was the bull-
dozer drivers accepted role to sit around drinking coﬀee and experimenting with
union regulations to see how they could turn the situation to their ﬁnancial ad-
vantage.
The Earth moved slowly in its diurnal course.
The sun was beginning to dry out the mud Arthur lay in.
A shadow moved across him again.
- Hello Arthur, - said the shadow.
Arthur looked up and squinting into the sun was startled to see Ford Prefect
standing above him.
- Ford! Hello, how are you?
- Fine, - said Ford, - look, are you busy?
- Am I busy? - exclaimed Arthur. - Well, I’ve just got all these bulldozers
and things to lie in front of because they’ll knock my house down if I don’t, but
other than that... well, no not especially, why?
They don’t have sarcasm on Betelgeuse, and Ford Prefect often failed to
notice it unless he was concentrating. He said,
- Good, is there anywhere we can talk?
- What? - said Arthur Dent.
For a few seconds Ford seemed to ignore him, and stared ﬁxedly into the sky
like a rabbit trying to get run over by a car. Then suddenly he squatted down
beside Arthur.
- We’ve got to talk, - he said urgently.
- Fine, - said Arthur, - talk.
- And drink, - said Ford. - It’s vitally important that we talk and drink.
Now. We’ll go to the pub in the village.
He looked into the sky again, nervous, expectant.
- Look, don’t you understand? - shouted Arthur. He pointed at Prosser. -
That man wants to knock my house down!
Ford glanced at him, puzzled.
- Well he can do it while you’re away can’t he? - he asked.
- But I don’t want him to!
- Ah.
- Look, what’s the matter with you Ford? - said Arthur.
- Nothing. Nothing’s the matter. Listen to me - I’ve got to tell you the most
important thing you’ve ever heard. I’ve got to tell you now, and I’ve got to tell
you in the saloon bar of the Horse and Groom.
- But why?
- Because you are going to need a very stiﬀ drink.
Ford stared at Arthur, and Arthur was astonished to ﬁnd that his will was
beginning to weaken. He didn’t realize that this was because of an old drink-","Ford insisted that Arthur would need a stiff drink before hearing the most important thing he had to say because the information was likely shocking or difficult to process, and Ford believed that a drink would help Arthur handle the news better."
94,What is the game that Ford Prefect learned to play in the hyperspace ports in the star system of Orion Beta?,"14 CHAPTER 1.
ing game that Ford learned to play in the hyperspace ports that served the
madranite mining belts in the star system of Orion Beta.
The game was not unlike the Earth game called Indian Wrestling, and was
played like this:
Two contestants would sit either side of a table, with a glass in front of each
of them.
Between them would be placed a bottle of Janx Spirit (as immortalized in
that ancient Orion mining song:
Oh don’t give me none more of that Old Janx Spirit
No, don’t you give me none more of that Old Janx Spirit
For my head will ﬂy, my tongue will lie,
my eyes will fry and I may die
Won’t you pour me one more of that sinful Old Janx Spirit”).
Each of the two contestants would then concentrate their will on the bottle
and attempt to tip it and pour spirit into the glass of his opponent - who would
then have to drink it.
The bottle would then be reﬁlled. The game would be played again. And
again.
Once you started to lose you would probably keep losing, because one of the
eﬀects of Janx spirit is to depress telepsychic power.
As soon as a predetermined quantity had been consumed, the ﬁnal loser
would have to perform a forfeit, which was usually obscenely biological.
Ford Prefect usually played to lose.
Ford stared at Arthur, who began to think that perhaps he did want to go
to the Horse and Groom after all.
- But what about my house?.. - he asked plaintively.
Ford looked across to Mr. Prosser, and suddenly a wicked thought struck
him.
- He wants to knock your house down?
- Yes, he wants to build...
- And he can’t because you’re lying in front of the bulldozers?
- Yes, and...
- I’m sure we can come to some arrangement, - said Ford. - Excuse me! he
shouted.
Mr. Prosser (who was arguing with a spokesman for the bulldozer drivers
about whether or not Arthur Dent constituted a mental health hazard, and
how much they should get paid if he did) looked around. He was surprised and
slightly alarmed to ﬁnd that Arthur had company.
- Yes? Hello? - he called. - Has Mr. Dent come to his senses yet?
- Can we for the moment, - called Ford, - assume that he hasn’t?
- Well? - sighed Mr. Prosser.
- And can we also assume, - said Ford, - that he’s going to be staying here
all day?
- So?
- So all your men are going to be standing around all day doing nothing?
- Could be, could be...
- Well, if you’re resigned to doing that anyway, you don’t actually need him
to lie here all the time do you?
- What?
- You don’t, - said Ford patiently, - actually need him here.",The game that Ford Prefect learned to play in the hyperspace ports in the star system of Orion Beta is a game similar to Indian Wrestling.
95,How is the game played between two contestants in the hyperspace ports?,"14 CHAPTER 1.
ing game that Ford learned to play in the hyperspace ports that served the
madranite mining belts in the star system of Orion Beta.
The game was not unlike the Earth game called Indian Wrestling, and was
played like this:
Two contestants would sit either side of a table, with a glass in front of each
of them.
Between them would be placed a bottle of Janx Spirit (as immortalized in
that ancient Orion mining song:
Oh don’t give me none more of that Old Janx Spirit
No, don’t you give me none more of that Old Janx Spirit
For my head will ﬂy, my tongue will lie,
my eyes will fry and I may die
Won’t you pour me one more of that sinful Old Janx Spirit”).
Each of the two contestants would then concentrate their will on the bottle
and attempt to tip it and pour spirit into the glass of his opponent - who would
then have to drink it.
The bottle would then be reﬁlled. The game would be played again. And
again.
Once you started to lose you would probably keep losing, because one of the
eﬀects of Janx spirit is to depress telepsychic power.
As soon as a predetermined quantity had been consumed, the ﬁnal loser
would have to perform a forfeit, which was usually obscenely biological.
Ford Prefect usually played to lose.
Ford stared at Arthur, who began to think that perhaps he did want to go
to the Horse and Groom after all.
- But what about my house?.. - he asked plaintively.
Ford looked across to Mr. Prosser, and suddenly a wicked thought struck
him.
- He wants to knock your house down?
- Yes, he wants to build...
- And he can’t because you’re lying in front of the bulldozers?
- Yes, and...
- I’m sure we can come to some arrangement, - said Ford. - Excuse me! he
shouted.
Mr. Prosser (who was arguing with a spokesman for the bulldozer drivers
about whether or not Arthur Dent constituted a mental health hazard, and
how much they should get paid if he did) looked around. He was surprised and
slightly alarmed to ﬁnd that Arthur had company.
- Yes? Hello? - he called. - Has Mr. Dent come to his senses yet?
- Can we for the moment, - called Ford, - assume that he hasn’t?
- Well? - sighed Mr. Prosser.
- And can we also assume, - said Ford, - that he’s going to be staying here
all day?
- So?
- So all your men are going to be standing around all day doing nothing?
- Could be, could be...
- Well, if you’re resigned to doing that anyway, you don’t actually need him
to lie here all the time do you?
- What?
- You don’t, - said Ford patiently, - actually need him here.",The game played between two contestants in the hyperspace ports is similar to Indian Wrestling. Two contestants sit on either side of a table with a glass in front of each of them. They concentrate their will on a bottle of Janx Spirit and try to pour it into their opponent's glass. The loser has to drink the spirit.
96,"What is the effect of Janx Spirit on telepsychic power, according to the text?","14 CHAPTER 1.
ing game that Ford learned to play in the hyperspace ports that served the
madranite mining belts in the star system of Orion Beta.
The game was not unlike the Earth game called Indian Wrestling, and was
played like this:
Two contestants would sit either side of a table, with a glass in front of each
of them.
Between them would be placed a bottle of Janx Spirit (as immortalized in
that ancient Orion mining song:
Oh don’t give me none more of that Old Janx Spirit
No, don’t you give me none more of that Old Janx Spirit
For my head will ﬂy, my tongue will lie,
my eyes will fry and I may die
Won’t you pour me one more of that sinful Old Janx Spirit”).
Each of the two contestants would then concentrate their will on the bottle
and attempt to tip it and pour spirit into the glass of his opponent - who would
then have to drink it.
The bottle would then be reﬁlled. The game would be played again. And
again.
Once you started to lose you would probably keep losing, because one of the
eﬀects of Janx spirit is to depress telepsychic power.
As soon as a predetermined quantity had been consumed, the ﬁnal loser
would have to perform a forfeit, which was usually obscenely biological.
Ford Prefect usually played to lose.
Ford stared at Arthur, who began to think that perhaps he did want to go
to the Horse and Groom after all.
- But what about my house?.. - he asked plaintively.
Ford looked across to Mr. Prosser, and suddenly a wicked thought struck
him.
- He wants to knock your house down?
- Yes, he wants to build...
- And he can’t because you’re lying in front of the bulldozers?
- Yes, and...
- I’m sure we can come to some arrangement, - said Ford. - Excuse me! he
shouted.
Mr. Prosser (who was arguing with a spokesman for the bulldozer drivers
about whether or not Arthur Dent constituted a mental health hazard, and
how much they should get paid if he did) looked around. He was surprised and
slightly alarmed to ﬁnd that Arthur had company.
- Yes? Hello? - he called. - Has Mr. Dent come to his senses yet?
- Can we for the moment, - called Ford, - assume that he hasn’t?
- Well? - sighed Mr. Prosser.
- And can we also assume, - said Ford, - that he’s going to be staying here
all day?
- So?
- So all your men are going to be standing around all day doing nothing?
- Could be, could be...
- Well, if you’re resigned to doing that anyway, you don’t actually need him
to lie here all the time do you?
- What?
- You don’t, - said Ford patiently, - actually need him here.","The effect of Janx Spirit on telepsychic power is to depress it, making it harder for individuals to use their telepathic abilities."
97,Why did Ford Prefect usually play to lose in the game described?,"14 CHAPTER 1.
ing game that Ford learned to play in the hyperspace ports that served the
madranite mining belts in the star system of Orion Beta.
The game was not unlike the Earth game called Indian Wrestling, and was
played like this:
Two contestants would sit either side of a table, with a glass in front of each
of them.
Between them would be placed a bottle of Janx Spirit (as immortalized in
that ancient Orion mining song:
Oh don’t give me none more of that Old Janx Spirit
No, don’t you give me none more of that Old Janx Spirit
For my head will ﬂy, my tongue will lie,
my eyes will fry and I may die
Won’t you pour me one more of that sinful Old Janx Spirit”).
Each of the two contestants would then concentrate their will on the bottle
and attempt to tip it and pour spirit into the glass of his opponent - who would
then have to drink it.
The bottle would then be reﬁlled. The game would be played again. And
again.
Once you started to lose you would probably keep losing, because one of the
eﬀects of Janx spirit is to depress telepsychic power.
As soon as a predetermined quantity had been consumed, the ﬁnal loser
would have to perform a forfeit, which was usually obscenely biological.
Ford Prefect usually played to lose.
Ford stared at Arthur, who began to think that perhaps he did want to go
to the Horse and Groom after all.
- But what about my house?.. - he asked plaintively.
Ford looked across to Mr. Prosser, and suddenly a wicked thought struck
him.
- He wants to knock your house down?
- Yes, he wants to build...
- And he can’t because you’re lying in front of the bulldozers?
- Yes, and...
- I’m sure we can come to some arrangement, - said Ford. - Excuse me! he
shouted.
Mr. Prosser (who was arguing with a spokesman for the bulldozer drivers
about whether or not Arthur Dent constituted a mental health hazard, and
how much they should get paid if he did) looked around. He was surprised and
slightly alarmed to ﬁnd that Arthur had company.
- Yes? Hello? - he called. - Has Mr. Dent come to his senses yet?
- Can we for the moment, - called Ford, - assume that he hasn’t?
- Well? - sighed Mr. Prosser.
- And can we also assume, - said Ford, - that he’s going to be staying here
all day?
- So?
- So all your men are going to be standing around all day doing nothing?
- Could be, could be...
- Well, if you’re resigned to doing that anyway, you don’t actually need him
to lie here all the time do you?
- What?
- You don’t, - said Ford patiently, - actually need him here.","Ford Prefect usually played to lose in the game described because one of the effects of Janx spirit is to depress telepsychic power, making it difficult to win once you start losing."
